source_file,player_name,player_id,team_name,position,stats_score,endowment_score,final_score
BayernMunich_RealMadrid_FinalPoints.csv,Michael Olise,1029063,FC Bayern München,midfielder,35.324,7.0,42
BayernMunich_RealMadrid_FinalPoints.csv,Luis Díaz,860914,FC Bayern München,midfielder,23.374,7.0,30
BayernMunich_RealMadrid_FinalPoints.csv,Jamal Musiala,1156141,FC Bayern München,midfielder,11.866666666666664,6.5,18
BayernMunich_RealMadrid_FinalPoints.csv,Serge Gnabry,385437,FC Bayern München,midfielder,10.307333333333332,3.0,13
BayernMunich_RealMadrid_FinalPoints.csv,Leon Goretzka,343748,FC Bayern München,midfielder,3.0,0.0,3
Liverpool_ParisStGermain_FinalPoints.csv,Ibrahima Konaté,820140,Liverpool,defender,40.78,0.0,41
Liverpool_ParisStGermain_FinalPoints.csv,Jeremie Frimpong,966018,Liverpool,defender,21.14,10.0,31
Liverpool_ParisStGermain_FinalPoints.csv,Milos Kerkez,1195281,Liverpool,defender,28.62,0.0,29
Liverpool_ParisStGermain_FinalPoints.csv,Virgil van Dijk,209405,Liverpool,defender,24.96,0.0,25
Liverpool_ParisStGermain_FinalPoints.csv,Joseph Gomez,568571,Liverpool,defender,5.003333333333333,5.0,10
Liverpool_ParisStGermain_FinalPoints.csv,Andrew Robertson,357880,Liverpool,defender,3.0,0.0,3
Liverpool_ParisStGermain_FinalPoints.csv,Amara Nallo,1589629,Liverpool,defender,3.0,0.0,3
Liverpool_ParisStGermain_FinalPoints.csv,Mohamed Salah,292462,Liverpool,forward,21.425,0.0,21
Liverpool_ParisStGermain_FinalPoints.csv,Rio Ngumoha,1597668,Liverpool,forward,16.025,-2.5,14
Liverpool_ParisStGermain_FinalPoints.csv,Alexander Isak,690107,Liverpool,forward,9.508333333333333,0.0,10
Liverpool_ParisStGermain_FinalPoints.csv,Cody Gakpo,806552,Liverpool,forward,12.2,-2.5,10
Liverpool_ParisStGermain_FinalPoints.csv,Hugo Ekitiké,1197030,Liverpool,forward,10.741666666666664,-2.5,8
Liverpool_ParisStGermain_FinalPoints.csv,Federico Chiesa,784510,Liverpool,forward,5.0,0.0,5
Liverpool_ParisStGermain_FinalPoints.csv,Liverpool Keepers,8650,Liverpool,goalkeeper,19.520000000000003,6.0,26
Liverpool_ParisStGermain_FinalPoints.csv,Dominik Szoboszlai,846005,Liverpool,midfielder,42.218,1.0,43
Liverpool_ParisStGermain_FinalPoints.csv,Ryan Gravenberch,956683,Liverpool,midfielder,25.378,1.0,26
Liverpool_ParisStGermain_FinalPoints.csv,Florian Wirtz,1152455,Liverpool,midfielder,21.394,1.0,22
Liverpool_ParisStGermain_FinalPoints.csv,Alexis Mac Allister,831489,Liverpool,midfielder,6.856666666666667,3.0,10
